Category,Item Name,Price
Parantha Favourites,Aloo Parantha,125
Parantha Favourites,Aloo Onion Parantha,125
Parantha Favourites,Mixed Parantha,135
Parantha Favourites,Onion Parantha,125
Parantha Favourites,Paneer Parantha,150
Parantha Favourites,Gobhi Parantha,125
Parantha Favourites,Mooli Parantha,125
Classic Sandwiches,Veg. Sandwich,125
Classic Sandwiches,Veg. Grilled Sandwich,150
Classic Sandwiches,Veg. Cheese Grilled Sandwich,175
Classic Sandwiches,Veg. Club Sandwich,145
Classic Sandwiches,Bun Maska,100
Classic Sandwiches,Bread Butter,100
Classic Beverages,Mineral Water,28.57
Classic Beverages,Cold Drink (330ml Can),0
Classic Beverages,Cold Drink (330ml Can) (Diet Coke),66.67
Classic Beverages,Cold Drink (330ml Can) (Coca Cola),66.67
Classic Beverages,Cold Drink (330ml Can) (Thums Up),66.67
Classic Beverages,Cold Drink (330ml Can) (Fanta),66.67
Classic Beverages,Cold Drink (330ml Can) (Sprite),66.67
Classic Beverages,Cold Drink (330ml Can) (Pepsi),66.67
Classic Beverages,Cold Drink (330ml Can) (7Up),66.67
Classic Beverages,Cold Drink (330ml Can) (Mirinda),66.67
Classic Beverages,Cold Drink (330ml Can) (Mountain Dew),66.67
Classic Beverages,Masala Tea,35
Classic Beverages,Coffee,70
Classic Beverages,Milk,70
Classic Beverages,Fresh Lime Water,80
Classic Beverages,Fresh Lemon Soda,90
Classic Beverages,Shikanji,95
Classic Beverages,Green Tea,60
Classic Beverages,Lemon Tea,60
Mocktails,Virgin Mint Mojito,160
Mocktails,Aam Panna,160
Mocktails,Kala Khatta,170
Mocktails,Strawberry Mojito,160
Mocktails,Green Apple Mojito,170
Mocktails,Blue Lagoon,170
Mocktails,Italian Smooch,170
Mocktails,Virgin Pina Colada,170
Milkshakes,Oreo Shake,190
Milkshakes,Mango Shake,170
Milkshakes,Banana Shake,180
Milkshakes,Chocolate Shake,170
Milkshakes,Strawberry Shake,170
Milkshakes,Vanilla Shake,170
Milkshakes,Butterscotch Shake,170
Milkshakes,Cold Coffee,160
Milkshakes,Cold Coffee With Ice Cream,180
Soups,Tomato Soup,145
Soups,Classic Hot & Sour Soup,145
Soups,Manchow Soup,145
Soups,Sweet Corn Soup,145
Soups,Cream Veg. Soup,145
Soya Specials Starters,Tandoori Soya Chaap Tikka,300
Soya Specials Starters,Malai Soya Chaap Tikka,300
Soya Specials Starters,Achaari Soya Chaap Tikka,320
Soya Specials Starters,Afghani Soya Chaap Tikka,320
Soya Specials Starters,Special Stuffed Mughlai Chaap Tikka,360
Soya Specials Starters,Soya Special Platter,580
Soya Specials Main Course,Mughlai Chaap,320
Soya Specials Main Course,Kadhai Soya Chaap,400
Soya Specials Main Course,Soya Butter Masala Chaap,320
Soya Specials Main Course,Tawa Chaap Gravy,300
Soya Specials Main Course,Keema Chaap Gravy,300
Pizza,Cheese Margherita Pizza,250
Pizza,Farmhouse Pizza,280
Pizza,Onion Tomato Capisicum Pizza,265
Pizza,Paneer Tikka Pizza,295
Pizza,Double Cheese Margherita Pizza,295
Pizza,Veg. Exotic Pizza,285
Pizza,Barbeque Sauce Pizza,285
Pasta,White Pasta,255
Pasta,Red Pasta,255
Garlic Bread,Plain Garlic Bread,140
Garlic Bread,Cheese Garlic Bread,160
Chinese Starters,Honey Chilli Potato,220
Chinese Starters,Crispy Spring Roll,200
Chinese Starters,Veg. Manchurian Dry,245
Chinese Starters,Chilli Paneer Dry,300
Chinese Starters,Chilli Mushroom Dry,300
Chinese Main Course,Manchurian Veg. Gravy,245
Chinese Main Course,Paneer Chilli Gravy,300
Chinese Main Course,Mushroom Chilli Gravy,300
Chinese Noodles & Rice,Veg. Chowmein,180
Chinese Noodles & Rice,Paneer Chowmein,210
Chinese Noodles & Rice,Hakka Noodles,210
