Name:,Executive Sales Report Summary,,
Restaurant Name:,Ghoomar Yatra,,
Restaurant Address:,"Ghoomar Village, The Skywalk, Pacific Mall, NSP, Pitampura, Delhi",,
Period:,18 Sep 2026 To 18 Sep 2026,,
,,,
Billing (Success),,,
Order,,,
Count,72,,
Invoice Nos.,853 - 924,,
Sub Total,58760.16,,
Discount,0.00,,
Delivery Charge,0.00,,
Container Charge,0.00,,
Service Charge,0.00,,
CGST,1468.96,,
SGST,1468.96,,
Round Off,-2.08,,
Waived off,-18.00,,
Grand Total,61678.00,,
Net Sales,58760.16,,
Billing (Cancel),,,
Count,0,,
Amount,0.00,,
Order Type,,,
Order,Count,Total,Net Sales
Delivery,0,0,0
Dine In,65,"59,927.00","57,092.54"
Takeaway,7,"1,751.00","1,667.62"
Payment Mode,,,
Payment Type,Total,,
Cash,"27,919.00",,
UPI,"29,822.00",,
Card,"3,023.00",,
Due Payment,914,,
Complimentary,,,
Order,,,
Count,0,,
Total,0.00,,
Sales Return,,,
Order,,,
Count,0,,
Total,0.00,,
Virtual Wallet,,,
Payment Type,Total,,
No Record Found,,,
Expense,,,
Date,Total,,
No Record Found,,,
Withdrawal,,,
Date,Total,,
No Record Found,,,
Cash Top-Up,,,
Date,Total,,
No Record Found,,,
Online Orders,,,
Payment Type,My Amount,Total,Orders
No Record Found,,,
Advance Order Summary,,,
Advance Order (Invoice Summary),,,
Count,0,,
Today Received Amount,0,,
Total,0.00,,
Advance Order (Memo Summary),,,
Count,0,,
Total,0.00,,
Advance Order (Due Received Summary),,,
Count,0,,
Total,0.00,,
